speedX,angle,trackPos,distFromStart,track_0,track_4,track_9,track_14,track_18,delta_track,steer,accel,brake,split
199.828,-0.000359654,0.368338,1102.95,5.3579,54.0534,138.306,187.241,11.6149,6.257000000000001,-0.1625,0.999999244961106,1.4775527736315752e-23,train
169.243,0.134326,-0.59326,2972.42,14.0766,36.2884,40.3725,44.7522,3.11319,-10.96341,-0.1625,4.2618165776125886e-10,2.0147232644735234e-11,train
124.531,0.205755,-0.483637,2557.13,15.2778,97.6131,74.7411,13.735,3.7051,-11.5727,0.1644695454545454,0.9997694329852352,1.5641658949962102e-42,train
96.5345,-0.0109881,0.80183,510.463,1.69074,36.5687,32.6743,29.6023,13.9928,12.30206,0.36,0.996828788061066,1.392936140982373e-37,train
94.377,-0.121842,0.834154,486.406,1.2809,33.4403,30.8601,28.5045,14.7168,13.4359,0.3711588636363637,0.762702430197629,2.0680831017603034e-26,train
116.745,-0.328107,-0.240778,411.993,8.59359,36.9716,33.2467,29.6552,8.58803,-0.0055600000000008976,0.3050715909090909,4.271446475052832e-12,2.135244505934462e-08,train
106.445,-0.576655,0.603604,3238.86,2.43115,3.94836,4.36221,4.89964,24.7881,22.35695,0.3355034090909091,1.0136342709353888e-12,4.355636398050092e-07,train
113.888,-0.113014,-0.403204,2532.04,10.7616,41.593,51.7402,63.2691,5.74899,-5.01261,-0.3135127272727273,0.9999999244061656,2.1758633046908536e-40,train
158.023,0.115379,-0.518664,572.086,14.6731,78.5027,98.6788,15.6842,3.68459,-10.98851,0.1831138636363636,0.9999999999999942,5.029224759868392e-42,train
173.19,-0.0392917,-0.632861,594.617,12.9499,41.3518,50.9522,64.1108,3.28172,-9.66818,0.0,0.9999999999999998,1.3355508113531498e-57,train
106.981,0.0282666,0.628389,520.454,3.35028,39.7463,33.1804,28.5958,12.508,9.15772,0.3339197727272727,0.9899784096894928,5.149972212314469e-40,train
229.373,0.0515715,-0.505129,2338.63,13.4845,50.7207,64.7402,90.0767,3.99833,-9.486170000000001,-0.1625,0.0004233056952178,0.0317879050829039,train
