time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
39.786,0.1625,0.9943679148245002,2.539595184906012e-15,4,207.074,-6.69207,7.29443,190.217,188.143,190.598,190.598,-0.194574,1970.82,0.0854694,16040.5,0.0,11.1268,29.4151,137.954,92.4132,75.3045,68.2732,64.2437,60.4796,57.6002,54.4915,51.0307,47.0363,42.064,37.536,31.2465,23.4416,16.6266,11.9295,6.31799,-1.0,-1.0,-1.0,-1.0,-1.0
39.206,0.1625,0.999682521048223,1.2140080233889316e-10,4,195.326,-6.79433,0.546238,180.088,177.096,179.256,179.256,0.734938,1920.8,-0.329455,15083.2,0.0,1.78377,2.72731,3.40056,4.25554,5.1468,5.85587,6.39497,7.06487,7.82105,41.2495,40.6141,40.0009,39.1778,38.2846,36.7336,34.046,30.5139,26.6968,16.8335,-1.0,-1.0,-1.0,-1.0,-1.0
48.926,-0.4003128409090909,0.0097051164862051,5.443302127234353e-29,4,84.5095,0.486026,-13.757,75.551,79.3628,72.5182,76.4533,-0.665741,2501.95,-0.0275787,6267.76,24.0,12.3914,17.7938,20.278,22.5236,24.2181,25.192,25.7515,26.2662,26.6491,27.0454,27.4558,27.881,28.5026,29.2533,30.7899,34.482,43.4161,66.7305,3.07189,-1.0,-1.0,-1.0,-1.0,-1.0
30.862,0.181388409090909,1.7959259981379796e-09,7.775083185672373e-08,4,158.607,-6.67445,1.30601,146.837,144.27,140.483,137.424,0.211014,1486.91,-0.251102,11691.4,0.0,5.57782,9.57664,13.436,56.5403,52.6197,50.6871,49.664,48.7735,48.1397,47.5078,46.878,46.2505,45.3759,44.3811,42.5301,38.9018,33.1919,26.286,12.6391,-1.0,-1.0,-1.0,-1.0,-1.0
10.11,0.2710677272727273,0.0404513293164782,4.490363557963066e-13,4,128.254,-4.01368,-4.77621,118.73,116.085,114.396,111.526,0.499163,418.887,-0.257335,9504.71,0.0,3.54532,6.3022,9.75869,40.1364,37.8665,36.7521,36.1642,35.6538,35.2915,34.9313,34.5731,34.217,33.7221,33.162,32.1283,30.1295,27.0231,23.1939,14.0935,-1.0,-1.0,-1.0,-1.0,-1.0
9.29,0.2429315909090909,5.669611187465116e-08,0.0015620692014929,4,137.777,-2.36944,-3.91996,128.308,124.577,122.98,118.832,-0.518478,389.662,-0.102744,10173.1,0.0,11.7423,22.2728,52.9774,47.3248,43.7671,41.9432,40.9582,40.0893,39.4647,38.837,38.206,37.5716,36.6777,35.6481,33.6944,29.689,22.6561,12.7344,4.57971,-1.0,-1.0,-1.0,-1.0,-1.0
60.666,-0.1625,0.9997618905464402,8.910113443481237e-21,4,172.643,5.89055,-1.86164,156.476,158.91,159.621,159.621,-0.252795,3021.38,-0.172296,13434.4,4.0,9.1907,15.5674,20.1776,25.8992,31.3524,35.0832,37.4721,39.853,41.7516,43.8437,46.1602,48.7391,52.8821,58.5839,73.4753,150.029,120.728,28.2598,7.7914,-1.0,-1.0,-1.0,-1.0,-1.0
9.77,0.28055208,1.0124910163088197e-11,0.0183087348726421,4,115.693,-2.60419,-3.1299,105.714,105.209,101.905,101.217,-0.0271581,402.991,-0.340674,8545.58,0.0,6.82702,10.7323,15.573,45.327,42.6959,41.3811,40.6811,40.0698,39.6339,39.1986,38.7642,38.3305,37.7251,37.0359,35.7525,33.2281,29.1936,24.0517,11.843,-1.0,-1.0,-1.0,-1.0,-1.0
46.706,0.3868105681818182,2.413559023621343e-16,0.1466417745623326,4,89.0795,-7.99427,-9.54922,60.5295,12.1886,48.6735,73.2686,0.803359,2441.04,-0.123308,5235.99,19.0,1.52177,3.11137,28.5232,27.2453,26.4054,25.9681,25.7326,25.5256,25.3772,25.2283,25.079,24.9294,24.7192,24.4783,24.0247,23.1132,21.6255,19.6605,14.276,-1.0,-1.0,-1.0,-1.0,-1.0
58.626,-0.2198802272727272,3.1927573300230754e-09,8.527605093064304e-07,4,145.579,7.10783,-6.0776,131.841,135.063,125.786,129.435,0.162163,2961.46,0.158909,10737.2,0.0,7.99825,16.5617,21.7454,26.6098,29.9904,31.7991,32.7936,33.6799,34.3217,34.9705,35.626,36.288,37.2253,38.3105,40.3822,44.6432,51.9642,62.43,8.94585,-1.0,-1.0,-1.0,-1.0,-1.0
